UNet | patch_size: 512 | pos_weight: 8.0

train 1/6:  17%|█▋        | 152/875 [01:04<05:04,  2.37it/s]
train 1/6:  17%|█▋        | 153/875 [01:04<05:04,  2.37it/s]
train 1/6:  18%|█▊        | 154/875 [01:05<05:04,  2.37it/s]
train 1/6:  18%|█▊        | 155/875 [01:05<05:03,  2.37it/s]
train 1/6:  18%|█▊        | 156/875 [01:05<05:03,  2.37it/s]
train 1/6:  18%|█▊        | 157/875 [01:06<05:02,  2.37it/s]
train 1/6:  18%|█▊        | 158/875 [01:06<05:02,  2.37it/s]
train 1/6:  18%|█▊        | 159/875 [01:07<05:02,  2.37it/s]
train 1/6:  18%|█▊        | 160/875 [01:07<05:01,  2.37it/s]
train 1/6:  18%|█▊        | 161/875 [01:08<05:01,  2.37it/s]
train 1/6:  19%|█▊        | 162/875 [01:08<05:01,  2.37it/s]
train 1/6:  19%|█▊        | 163/875 [01:08<05:00,  2.37it/s]
train 1/6:  19%|█▊        | 164/875 [01:09<05:00,  2.37it/s]
train 1/6:  19%|█▉        | 165/875 [01:09<04:59,  2.37it/s]
train 1/6:  19%|█▉        | 166/875 [01:10<04:59,  2.37it/s]
train 1/6:  19%|█▉        | 167/875 [01:10<04:58,  2.37it/s]
train 1/6:  19%|█▉        | 168/875 [01:10<04:58,  2.37it/s]
train 1/6:  19%|█▉        | 169/875 [01:11<04:58,  2.37it/s]
train 1/6:  19%|█▉        | 170/875 [01:11<04:57,  2.37it/s]
train 1/6:  20%|█▉        | 171/875 [01:12<04:57,  2.37it/s]
train 1/6:  20%|█▉        | 172/875 [01:12<04:56,  2.37it/s]
train 1/6:  20%|█▉        | 173/875 [01:13<04:56,  2.37it/s]
train 1/6:  20%|█▉        | 174/875 [01:13<04:56,  2.37it/s]
train 1/6:  20%|██        | 175/875 [01:13<04:55,  2.37it/s]
train 1/6:  20%|██        | 176/875 [01:14<04:55,  2.37it/s]
train 1/6:  20%|██        | 177/875 [01:14<04:54,  2.37it/s]
train 1/6:  20%|██        | 178/875 [01:15<04:54,  2.37it/s]
train 1/6:  20%|██        | 179/875 [01:15<04:54,  2.37it/s]
train 1/6:  21%|██        | 180/875 [01:16<04:53,  2.37it/s]
train 1/6:  21%|██        | 181/875 [01:16<04:53,  2.37it/s]
train 1/6:  21%|██        | 182/875 [01:16<04:52,  2.37it/s]
train 1/6:  21%|██        | 183/875 [01:17<04:52,  2.36it/s]
train 1/6:  21%|██        | 184/875 [01:17<04:52,  2.36it/s]
train 1/6:  21%|██        | 185/875 [01:18<04:51,  2.36it/s]
