/home/yuvalsi2/.conda/envs/crackseg/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
UNet | Train Samples: 7000 | Batches: 875

train 1/20:   0%|          | 0/875 [00:00<?, ?it/s]
train 1/20:   0%|          | 0/875 [00:01<?, ?it/s, loss=0.9057]
train 1/20:   7%|▋         | 65/875 [00:28<05:46,  2.33it/s, loss=0.6746]
train 1/20:   7%|▋         | 65/875 [00:29<05:46,  2.33it/s, loss=0.6678]
train 1/20:   8%|▊         | 66/875 [00:29<05:46,  2.34it/s, loss=0.6678]
train 1/20:   8%|▊         | 66/875 [00:29<05:46,  2.34it/s, loss=0.6816]
train 1/20:   8%|▊         | 67/875 [00:29<05:45,  2.34it/s, loss=0.6816]
train 1/20:   8%|▊         | 67/875 [00:29<05:45,  2.34it/s, loss=0.6611]
train 1/20:   8%|▊         | 68/875 [00:29<05:45,  2.34it/s, loss=0.6611]
train 1/20:   8%|▊         | 68/875 [00:30<05:45,  2.34it/s, loss=0.7035]
train 1/20:   8%|▊         | 69/875 [00:30<05:45,  2.34it/s, loss=0.7035]
train 1/20:   8%|▊         | 69/875 [00:30<05:45,  2.34it/s, loss=0.6773]
train 1/20:   8%|▊         | 70/875 [00:30<05:44,  2.34it/s, loss=0.6773]
train 1/20:   8%|▊         | 70/875 [00:31<05:44,  2.34it/s, loss=0.6380]
train 1/20:   8%|▊         | 71/875 [00:31<05:44,  2.33it/s, loss=0.6380]
train 1/20:   8%|▊         | 71/875 [00:31<05:44,  2.33it/s, loss=0.6745]
train 1/20:   8%|▊         | 72/875 [00:31<05:44,  2.33it/s, loss=0.6745]
train 1/20:   8%|▊         | 72/875 [00:32<05:44,  2.33it/s, loss=0.7191]
train 1/20:   8%|▊         | 73/875 [00:32<05:43,  2.33it/s, loss=0.7191]
train 1/20:   8%|▊         | 73/875 [00:32<05:43,  2.33it/s, loss=0.6688]
train 1/20:   8%|▊         | 74/875 [00:32<05:43,  2.33it/s, loss=0.6688]
train 1/20:   8%|▊         | 74/875 [00:32<05:43,  2.33it/s, loss=0.7018]
train 1/20:   9%|▊         | 75/875 [00:32<05:43,  2.33it/s, loss=0.7018]
train 1/20:   9%|▊         | 75/875 [00:33<05:43,  2.33it/s, loss=0.7620]
train 1/20:   9%|▊         | 76/875 [00:33<05:43,  2.32it/s, loss=0.7620]
train 1/20:   9%|▊         | 76/875 [00:33<05:43,  2.32it/s, loss=0.7692]
train 1/20:   9%|▉         | 77/875 [00:33<05:43,  2.33it/s, loss=0.7692]
train 1/20:   9%|▉         | 77/875 [00:34<05:43,  2.33it/s, loss=0.6727]
train 1/20:   9%|▉         | 78/875 [00:34<05:42,  2.33it/s, loss=0.6727]
train 1/20:   9%|▉         | 78/875 [00:34<05:42,  2.33it/s, loss=0.6588]
train 1/20:   9%|▉         | 79/875 [00:34<05:42,  2.33it/s, loss=0.6588]
train 1/20:   9%|▉         | 79/875 [00:35<05:42,  2.33it/s, loss=0.6563]
train 1/20:   9%|▉         | 80/875 [00:35<05:41,  2.33it/s, loss=0.6563]
train 1/20:   9%|▉         | 80/875 [00:35<05:41,  2.33it/s, loss=0.6931]
train 1/20:   9%|▉         | 81/875 [00:35<05:40,  2.33it/s, loss=0.6931]
train 1/20:   9%|▉         | 81/875 [00:35<05:40,  2.33it/s, loss=0.6919]
train 1/20:   9%|▉         | 82/875 [00:35<05:40,  2.33it/s, loss=0.6919]
train 1/20:   9%|▉         | 82/875 [00:36<05:40,  2.33it/s, loss=0.7469]
train 1/20:   9%|▉         | 83/875 [00:36<05:40,  2.33it/s, loss=0.7469]
train 1/20:   9%|▉         | 83/875 [00:36<05:40,  2.33it/s, loss=0.7592]
train 1/20:  10%|▉         | 84/875 [00:36<05:40,  2.33it/s, loss=0.7592]
train 1/20:  10%|▉         | 84/875 [00:37<05:40,  2.33it/s, loss=0.6572]
train 1/20:  10%|▉         | 85/875 [00:37<05:39,  2.33it/s, loss=0.6572]
train 1/20:  10%|▉         | 85/875 [00:37<05:39,  2.33it/s, loss=0.7209]
train 1/20:  10%|▉         | 86/875 [00:37<05:39,  2.33it/s, loss=0.7209]
train 1/20:  10%|▉         | 86/875 [00:38<05:39,  2.33it/s, loss=0.7092]
